YR,TM,WON,TITLE_GAME,FINAL_FOUR,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OPP_G,OPP_MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_2P,OPP_2PA,OPP_2P%,OPP_3P,OPP_3PA,OPP_3P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,PTS_DIFF,PTS/OPP_PTS,AST/TOV,AST/OPP_AST,TRB_DIFF,TRB%,DRB%,ORB%,BLK/OPP_BLK,FG%/OPP_FG%,2P%/OPP_2P%,3P%/OPP_3P%,3PA/FGA,FGA/OPP_FGA,FGA_DIFF,eFG%,OPP_eFG%,eFG%/OPP_eFG%,2P/OPP_2P,3P/OPP_3P,FG/OPP_FG,FT/OPP_FT,2PA/OPP_2PA,3PA/OPP_3PA,FTA/OPP_FTA,STL/OPP_STL,TOV/OPP_TOV,PF/OPP_PF
2023,connecticut,1,1,1,39,40.0,27.7,59.8,0.46399999999999997,18.7,34.9,0.536,9.1,24.9,0.363,14.0,18.4,0.7609999999999999,13.0,26.3,39.3,17.5,6.3,4.9,12.9,17.7,78.6,39,40.0,21.9,55.0,0.39899999999999997,17.0,38.3,0.444,5.0,16.7,0.297,15.3,20.8,0.735,9.3,20.8,30.1,9.2,6.6,2.7,12.6,17.0,64.1,14.5,1.2262090483619346,1.3565891472868217,1.9021739130434785,9.199999999999996,0.5662824207492795,0.7387640449438202,0.38461538461538464,1.8148148148148149,1.162907268170426,1.2072072072072073,1.804713804713805,0.41638795986622074,1.0872727272727272,4.799999999999997,0.5392976588628763,0.4436363636363636,1.2156299687482868,1.0999999999999999,1.8199999999999998,1.264840182648402,0.9150326797385621,0.9112271540469974,1.4910179640718562,0.8846153846153845,0.9545454545454546,1.023809523809524,1.0411764705882351
2023,san-diego-state,0,1,1,39,40.3,25.3,57.7,0.43799999999999994,18.3,37.8,0.485,6.9,19.9,0.348,13.6,18.9,0.722,10.9,25.4,36.3,12.9,6.7,3.9,11.6,16.3,71.2,39,40.3,22.5,55.0,0.409,16.3,33.1,0.493,6.2,22.0,0.284,12.2,16.2,0.752,8.8,23.3,32.2,10.6,6.2,3.0,12.9,17.9,63.5,7.700000000000003,1.1212598425196851,1.1120689655172415,1.2169811320754718,4.099999999999994,0.52992700729927,0.7426900584795321,0.31871345029239767,1.3,1.0709046454767726,0.9837728194726166,1.7077464788732395,0.34488734835355284,1.049090909090909,2.700000000000003,0.49826689774696703,0.46545454545454545,1.0704952881282495,1.1226993865030674,1.1129032258064517,1.1244444444444446,1.1147540983606559,1.1419939577039273,0.9045454545454544,1.1666666666666667,1.0806451612903225,0.8992248062015503,0.9106145251396649
2023,miami-fl,0,0,1,37,40.1,28.6,59.6,0.48,21.1,39.2,0.5379999999999999,7.5,20.4,0.368,14.4,18.3,0.784,10.4,24.4,34.7,14.5,7.3,3.1,11.1,14.2,79.1,37,40.1,26.8,59.8,0.44799999999999995,19.1,36.8,0.518,7.7,23.0,0.335,10.6,14.4,0.741,9.8,22.3,32.1,14.6,5.9,3.4,12.5,15.3,71.9,7.199999999999989,1.1001390820584143,1.3063063063063063,0.9931506849315068,2.6000000000000014,0.5194610778443113,0.7134502923976607,0.3180428134556575,0.911764705882353,1.0714285714285714,1.0386100386100385,1.605970149253731,0.3422818791946308,0.9966555183946489,-0.19999999999999574,0.5427852348993288,0.5125418060200669,1.059006755203258,1.1047120418848166,0.974025974025974,1.0671641791044777,1.358490566037736,1.065217391304348,0.8869565217391304,1.2708333333333333,1.2372881355932202,0.888,0.9281045751633986
2023,florida-atlantic,0,0,1,39,40.3,27.8,59.6,0.466,18.2,33.4,0.545,9.6,26.3,0.366,12.6,17.5,0.7190000000000001,10.9,28.1,38.9,14.4,6.5,2.6,11.8,15.7,77.8,39,40.3,23.7,58.7,0.40299999999999997,17.1,38.2,0.446,6.6,20.5,0.32299999999999995,11.4,15.5,0.735,9.3,23.6,33.0,8.2,5.8,2.3,12.3,16.7,65.3,12.5,1.1914241960183767,1.2203389830508473,1.75609756097561,5.899999999999999,0.541029207232267,0.7513368983957218,0.3159420289855073,1.1304347826086958,1.1563275434243179,1.2219730941704037,1.687306501547988,0.4412751677852349,1.0153321976149914,0.8999999999999986,0.5469798657718121,0.45996592844974443,1.1891747452150139,1.0643274853801168,1.4545454545454546,1.1729957805907174,1.1052631578947367,0.8743455497382198,1.2829268292682927,1.1290322580645162,1.120689655172414,0.959349593495935,0.9401197604790419
2022,kansas,1,1,1,40,40.4,28.6,59.8,0.478,21.5,40.0,0.536,7.2,19.8,0.361,13.9,19.4,0.7170000000000001,11.0,26.9,37.9,15.3,6.3,4.3,12.1,15.9,78.2,40,40.4,24.5,60.3,0.406,18.3,39.3,0.46399999999999997,6.3,21.0,0.298,12.0,16.7,0.7190000000000001,10.7,22.4,33.1,11.8,6.5,3.2,12.7,17.4,67.3,10.900000000000006,1.161961367013373,1.2644628099173554,1.2966101694915253,4.799999999999997,0.5338028169014084,0.7154255319148937,0.32934131736526945,1.3437499999999998,1.1773399014778323,1.1551724137931036,1.7986577181208057,0.3311036789297659,0.9917081260364843,-0.5,0.5384615384615385,0.45854063018242125,1.1742940603700098,1.174863387978142,1.142857142857143,1.1673469387755102,1.1583333333333334,1.0178117048346056,0.9428571428571428,1.1616766467065869,0.9692307692307692,0.952755905511811,0.9137931034482759
2022,north-carolina,0,1,1,39,40.4,27.6,61.8,0.447,19.2,38.3,0.501,8.4,23.5,0.358,14.3,18.7,0.764,11.5,29.8,41.3,14.9,5.2,3.9,11.7,14.5,77.9,39,40.4,26.9,63.2,0.425,19.2,40.3,0.475,7.7,22.9,0.337,9.8,13.5,0.725,8.2,24.5,32.7,12.8,6.6,3.6,9.7,16.5,71.3,6.6000000000000085,1.0925666199158486,1.2735042735042736,1.1640625,8.599999999999994,0.5581081081081081,0.7842105263157895,0.3194444444444444,1.0833333333333333,1.051764705882353,1.0547368421052632,1.486646884272997,0.38025889967637544,0.9778481012658227,-1.4000000000000057,0.5145631067961165,0.4865506329113924,1.0575736048622622,1.0,1.0909090909090908,1.026022304832714,1.4591836734693877,0.9503722084367245,1.0262008733624455,1.385185185185185,0.787878787878788,1.2061855670103092,0.8787878787878788
2022,duke,0,0,1,39,40.1,29.7,60.4,0.491,21.8,38.9,0.561,7.9,21.6,0.366,12.8,17.3,0.738,10.5,27.4,37.9,16.5,6.4,5.6,10.3,13.6,80.1,39,40.1,26.3,63.1,0.41700000000000004,19.5,41.9,0.466,6.8,21.2,0.32,8.3,12.0,0.691,11.2,22.7,33.9,13.3,6.0,3.2,10.7,15.7,67.8,12.299999999999997,1.1814159292035398,1.6019417475728155,1.2406015037593985,4.0,0.5278551532033426,0.7098445595854923,0.31626506024096385,1.7499999999999998,1.1774580335731413,1.203862660944206,1.753125,0.35761589403973515,0.9572107765451664,-2.700000000000003,0.5571192052980133,0.4706814580031696,1.1836438334782706,1.117948717948718,1.161764705882353,1.129277566539924,1.542168674698795,0.9284009546539379,1.0188679245283019,1.4416666666666667,1.0666666666666667,0.9626168224299066,0.8662420382165605
2022,villanova,0,0,1,38,40.1,24.3,56.1,0.43200000000000005,14.9,30.1,0.495,9.3,26.0,0.359,13.9,16.7,0.83,10.3,24.5,34.8,11.9,6.0,2.2,9.9,14.9,71.7,38,40.1,22.7,55.6,0.408,15.4,32.1,0.48100000000000004,7.2,23.4,0.308,10.2,13.9,0.7340000000000001,9.9,22.8,32.7,11.3,4.7,3.4,11.8,16.3,62.7,9.0,1.1435406698564594,1.202020202020202,1.0530973451327432,2.0999999999999943,0.5155555555555555,0.7122093023255814,0.311178247734139,0.6470588235294118,1.058823529411765,1.029106029106029,1.6071428571428572,0.46345811051693403,1.0089928057553956,0.5,0.5160427807486632,0.47302158273381295,1.0909497570199875,0.9675324675324676,1.2916666666666667,1.0704845814977975,1.3627450980392157,0.9376947040498442,1.1111111111111112,1.2014388489208632,1.276595744680851,0.8389830508474576,0.9141104294478527
2021,baylor,1,1,1,30,40.2,30.6,62.9,0.486,20.6,38.7,0.532,10.0,24.1,0.413,11.8,16.7,0.708,12.5,23.5,36.0,16.9,8.9,3.7,11.5,17.1,82.9,30,40.2,23.7,54.7,0.433,17.5,36.0,0.48700000000000004,6.2,18.8,0.32899999999999996,11.9,17.1,0.695,9.9,21.8,31.7,12.3,5.6,4.1,17.0,16.4,65.5,17.400000000000006,1.265648854961832,1.4695652173913043,1.3739837398373982,4.300000000000001,0.5317577548005908,0.7035928143712575,0.3644314868804665,0.902439024390244,1.1224018475750577,1.0924024640657084,1.617021276595745,0.38314785373608906,1.149908592321755,8.199999999999996,0.5659777424483308,0.489945155393053,1.1551859146240184,1.1771428571428573,1.6129032258064515,1.2911392405063291,0.9915966386554622,1.0750000000000002,1.2819148936170213,0.9766081871345028,1.5892857142857144,0.6764705882352942,1.0426829268292686
2021,gonzaga,0,1,1,32,40.2,33.7,61.4,0.5489999999999999,26.2,41.0,0.639,7.5,20.4,0.368,16.0,22.0,0.73,9.0,28.1,37.2,18.8,7.9,2.8,12.0,16.3,91.0,32,40.2,25.9,61.4,0.42200000000000004,19.1,40.7,0.47,6.8,20.7,0.327,11.1,15.8,0.703,8.5,21.9,30.3,11.8,6.1,2.8,14.4,19.3,69.7,21.299999999999997,1.3055954088952653,1.5666666666666667,1.5932203389830508,6.900000000000002,0.5511111111111111,0.76775956284153,0.29126213592233013,1.0,1.300947867298578,1.3595744680851065,1.9541284403669725,0.3322475570032573,1.0,0.0,0.6099348534201955,0.4771986970684039,1.2781569965870307,1.3717277486910993,1.1029411764705883,1.3011583011583014,1.4414414414414416,1.0073710073710074,0.9855072463768115,1.3924050632911391,1.2950819672131149,0.8333333333333333,0.844559585492228
2021,houston,0,0,1,32,40.0,26.7,61.3,0.435,17.6,35.6,0.495,9.1,25.7,0.354,13.6,18.6,0.731,14.3,26.2,40.5,13.9,8.0,4.7,10.7,18.0,76.1,32,40.0,19.4,51.3,0.37799999999999995,13.8,31.8,0.433,5.7,19.5,0.29,13.8,20.8,0.662,9.6,22.0,31.6,10.4,4.9,2.5,14.1,17.5,58.2,17.89999999999999,1.3075601374570445,1.2990654205607477,1.3365384615384615,8.899999999999999,0.5617198335644938,0.7318435754189945,0.393939393939394,1.8800000000000001,1.150793650793651,1.1431870669745958,1.7068965517241381,0.4192495921696574,1.1949317738791423,10.0,0.5097879282218597,0.4337231968810916,1.1753762120351192,1.2753623188405798,1.5964912280701753,1.3762886597938144,0.9855072463768115,1.119496855345912,1.317948717948718,0.8942307692307693,1.6326530612244896,0.7588652482269503,1.0285714285714285
