YR,TM,WON,TITLE_GAME,FINAL_FOUR,PTS,OPP_PTS,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,OPP_FG,OPP_FGA,OPP_3P,OPP_3PA,OPP_FT,OPP_FTA,OPP_ORB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,FG%,2P,2PA,2P%,3P%,DRB,OPP_2P,OPP_2PA,OPP_FG%,OPP_2P%,OPP_3P%,OPP_DRB,PTS_DIFF,PTS/OPP_PTS,AST/TOV,AST/OPP_AST,TRB_DIFF,TRB%,DRB%,ORB%,BLK/OPP_BLK,FG%/OPP_FG%,2P%/OPP_2P%,3P%/OPP_3P%,3PA/FGA,FGA/OPP_FGA,FGA_DIFF,eFG%,OPP_eFG%,eFG%/OPP_eFG%,2P/OPP_2P,3P/OPP_3P,FG/OPP_FG,FT/OPP_FT,2PA/OPP_2PA,3PA/OPP_3PA,FTA/OPP_FTA,STL/OPP_STL,TOV/OPP_TOV,PF/OPP_PF,FT%,OPP_FT%,FT%/OPP_FT%
2023,connecticut,1,1,1,79.2,59.2,28.5,58.7,9.3,23.5,12.8,16.0,10.2,39.5,19.0,4.8,4.8,11.7,15.7,20.0,58.3,5.2,18.2,14.0,19.3,8.3,28.3,9.2,6.3,1.7,9.0,14.8,0.4855195911413969,19.2,35.2,0.5454545454545454,0.39574468085106385,29.3,14.8,40.099999999999994,0.3430531732418525,0.36907730673316713,0.28571428571428575,20.0,20.0,1.3378378378378377,1.623931623931624,2.065217391304348,11.2,0.5825958702064897,0.7792553191489362,0.33774834437086093,2.823529411764706,1.4152896081771718,1.4778869778869776,1.9090909090909087,0.40034071550255534,1.0068610634648372,0.4000000000000057,0.5647359454855195,0.38765008576329335,1.4568188328232647,1.2972972972972971,1.7884615384615385,1.425,0.9142857142857144,0.8778054862842894,1.2912087912087913,0.8290155440414507,0.7619047619047619,1.2999999999999998,1.0608108108108107,0.8,0.7253886010362695,1.102857142857143
2023,san-diego-state,0,1,1,66.2,62.7,24.7,60.8,5.7,17.8,11.2,17.0,10.5,36.5,10.2,4.8,4.7,10.3,17.0,20.8,56.2,5.2,22.2,15.8,19.3,9.2,33.5,9.0,5.7,3.3,10.7,16.7,0.40625,19.0,43.0,0.4418604651162791,0.3202247191011236,26.0,15.600000000000001,34.0,0.3701067615658363,0.45882352941176474,0.23423423423423426,24.3,3.5,1.0558213716108453,0.9902912621359222,1.1333333333333333,3.0,0.5214285714285715,0.7386363636363635,0.30172413793103453,1.4242424242424243,1.09765625,0.9630292188431723,1.8864042933810374,0.2927631578947369,1.081850533807829,4.599999999999994,0.45312500000000006,0.41637010676156583,1.0882745726495728,1.2179487179487178,1.0961538461538463,1.1875,0.7088607594936708,1.2647058823529411,0.8018018018018018,0.8808290155440415,0.8421052631578947,0.9626168224299066,1.0179640718562875,0.6588235294117647,0.8186528497409327,0.8047654504839911
2023,miami-fl,0,0,1,76.8,70.6,26.2,59.4,7.0,18.8,17.4,21.0,9.4,33.6,11.4,7.0,2.0,9.2,13.2,26.0,59.8,8.6,26.2,10.0,14.0,8.8,31.6,16.0,5.4,4.0,11.4,16.6,0.44107744107744107,19.2,40.599999999999994,0.47290640394088673,0.3723404255319149,24.200000000000003,17.4,33.599999999999994,0.4347826086956522,0.5178571428571429,0.3282442748091603,22.8,6.200000000000003,1.0878186968838528,1.2391304347826089,0.7125,2.0,0.5153374233128835,0.7333333333333334,0.2919254658385093,0.5,1.0144781144781143,0.9131985731272295,1.4407148585175853,0.3164983164983165,0.9933110367892977,-0.3999999999999986,0.5,0.5066889632107023,0.9867986798679869,1.103448275862069,0.813953488372093,1.0076923076923077,1.7399999999999998,1.2083333333333333,0.717557251908397,1.5,1.2962962962962963,0.8070175438596491,0.7951807228915662,0.8285714285714285,0.7142857142857143,1.16
2023,florida-atlantic,0,0,1,71.2,67.6,24.8,58.4,8.6,26.2,13.0,17.6,11.8,37.8,13.0,4.2,3.2,11.6,14.8,25.0,61.4,8.0,23.2,9.6,14.8,10.6,31.6,11.4,6.4,2.0,9.0,16.6,0.4246575342465754,16.200000000000003,32.2,0.5031055900621119,0.3282442748091603,25.999999999999996,17.0,38.2,0.40716612377850164,0.4450261780104712,0.3448275862068966,21.0,3.6000000000000085,1.0532544378698225,1.120689655172414,1.1403508771929824,6.199999999999996,0.5446685878962535,0.7103825136612022,0.35975609756097565,1.6,1.042958904109589,1.1305078553160397,1.4590062111801243,0.4486301369863014,0.9511400651465798,-3.0,0.49828767123287676,0.4723127035830619,1.0549952763344357,0.9529411764705884,1.075,0.992,1.3541666666666667,0.8429319371727749,1.1293103448275863,1.1891891891891893,0.65625,1.2888888888888888,0.891566265060241,0.7386363636363635,0.6486486486486486,1.1387310606060606
2022,kansas,1,1,1,76.2,62.2,28.3,61.3,7.2,18.2,12.3,18.3,9.0,38.2,14.7,5.5,5.2,9.7,16.2,21.2,61.7,6.7,23.3,13.2,16.8,9.8,32.2,11.3,4.7,3.8,10.8,15.8,0.4616639477977162,21.1,43.099999999999994,0.48955916473317873,0.39560439560439564,29.200000000000003,14.5,38.400000000000006,0.3435980551053484,0.37760416666666663,0.2875536480686695,22.400000000000002,14.0,1.22508038585209,1.5154639175257731,1.3008849557522122,6.0,0.5426136363636364,0.7487179487179488,0.28662420382165604,1.368421052631579,1.343616300901844,1.2964877190175217,1.7024967967586664,0.2969004893964111,0.9935170178282009,-0.4000000000000057,0.5203915171288744,0.3978930307941653,1.3078678862261324,1.4551724137931035,1.0746268656716418,1.3349056603773586,0.9318181818181819,1.122395833333333,0.7811158798283261,1.0892857142857142,1.1702127659574468,0.898148148148148,1.0253164556962024,0.6721311475409836,0.7857142857142856,0.8554396423248883
2022,north-carolina,0,1,1,80.0,68.8,27.3,65.8,9.2,27.0,16.2,22.2,13.2,44.7,15.5,3.8,4.3,10.8,15.0,26.5,69.0,6.2,22.8,9.7,14.5,9.0,32.8,11.8,6.5,5.3,7.7,17.5,0.41489361702127664,18.1,38.8,0.4664948453608248,0.34074074074074073,31.500000000000004,20.3,46.2,0.38405797101449274,0.4393939393939394,0.2719298245614035,23.799999999999997,11.200000000000003,1.1627906976744187,1.4351851851851851,1.3135593220338981,11.900000000000006,0.5767741935483871,0.7777777777777779,0.3567567567567567,0.8113207547169812,1.0802890405459655,1.0616779239246357,1.7154971732623878,0.4103343465045593,0.9536231884057971,-3.200000000000003,0.4848024316109423,0.42898550724637685,1.1301137763903721,0.8916256157635468,1.4838709677419353,1.030188679245283,1.6701030927835052,0.8398268398268397,1.1842105263157894,1.5310344827586206,0.5846153846153845,1.4025974025974026,0.8571428571428571,0.7297297297297297,0.6689655172413793,1.0908331011423795
2022,duke,0,0,1,79.2,72.0,29.8,58.6,6.0,17.2,13.6,17.0,7.8,31.4,13.4,5.8,6.2,10.0,13.6,27.0,64.2,7.6,20.8,10.4,12.8,11.2,32.2,11.2,4.6,3.8,8.8,15.4,0.5085324232081911,23.8,41.400000000000006,0.57487922705314,0.3488372093023256,23.599999999999998,19.4,43.400000000000006,0.4205607476635514,0.44700460829493077,0.36538461538461536,21.000000000000004,7.200000000000003,1.1,1.34,1.1964285714285716,-0.8000000000000043,0.4937106918238993,0.6781609195402298,0.2708333333333333,1.6315789473684212,1.2091770951839211,1.2860700234075402,1.5733536740401728,0.2935153583617747,0.9127725856697819,-5.600000000000001,0.5597269624573378,0.4797507788161994,1.1667036035636715,1.2268041237113403,0.7894736842105263,1.1037037037037036,1.3076923076923077,0.9539170506912442,0.8269230769230769,1.328125,1.2608695652173914,1.1363636363636362,0.8831168831168831,0.7999999999999999,0.8125,0.9846153846153846
2022,villanova,0,0,1,65.8,60.2,22.0,55.0,9.6,26.6,12.2,13.8,9.6,31.4,10.6,4.6,1.8,8.6,12.6,22.6,55.8,6.0,20.8,9.0,13.6,10.4,32.4,11.2,5.0,3.8,9.0,13.2,0.4,12.4,28.4,0.4366197183098592,0.3609022556390977,21.799999999999997,16.6,35.0,0.40501792114695345,0.4742857142857143,0.28846153846153844,22.0,5.599999999999994,1.0930232558139534,1.2325581395348837,0.9464285714285715,-1.0,0.49216300940438873,0.6770186335403727,0.30379746835443033,0.4736842105263158,0.9876106194690265,0.9205837434244019,1.5136150234741785,0.48363636363636364,0.9856630824372761,-0.7999999999999972,0.4872727272727273,0.4587813620071685,1.0621022727272726,0.7469879518072289,1.5999999999999999,0.9734513274336283,1.3555555555555554,0.8114285714285714,1.278846153846154,1.0147058823529413,0.9199999999999999,0.9555555555555555,0.9545454545454546,0.8840579710144927,0.6617647058823529,1.3359098228663446
2021,baylor,1,1,1,77.0,61.7,28.5,62.2,8.5,21.8,11.5,15.2,10.8,30.3,16.3,8.7,3.5,7.0,16.8,22.7,52.2,5.0,17.8,11.3,15.5,7.3,27.0,11.8,3.2,5.2,15.2,15.3,0.45819935691318325,20.0,40.400000000000006,0.495049504950495,0.38990825688073394,19.5,17.7,34.400000000000006,0.4348659003831417,0.5145348837209301,0.28089887640449435,19.7,15.299999999999997,1.2479740680713127,2.3285714285714287,1.3813559322033897,3.3000000000000007,0.5287958115183247,0.7276119402985074,0.35409836065573774,0.673076923076923,1.0536566709633555,0.9621301113162164,1.7623762376237624,0.3504823151125402,1.1915708812260537,10.0,0.5265273311897106,0.48275862068965514,1.0906637574644007,1.1299435028248588,1.7,1.2555066079295154,1.0176991150442478,1.1744186046511627,1.2247191011235954,0.9806451612903225,2.7187499999999996,0.46052631578947373,1.0980392156862746,0.7565789473684211,0.7290322580645162,1.0377852817885422
2021,gonzaga,0,1,1,86.0,72.2,31.8,58.8,8.3,22.0,14.0,18.7,6.7,30.8,20.8,6.3,2.7,11.7,14.7,27.3,62.8,6.5,19.2,11.0,15.7,7.7,27.0,13.2,6.5,2.3,9.3,15.8,0.5408163265306123,23.5,36.8,0.6385869565217391,0.3772727272727273,24.1,20.8,43.599999999999994,0.43471337579617836,0.4770642201834863,0.3385416666666667,19.3,13.799999999999997,1.1911357340720221,1.777777777777778,1.575757575757576,3.8000000000000007,0.5328719723183392,0.7578616352201258,0.2576923076923077,1.173913043478261,1.2440756522389176,1.3385765050167222,1.88628762541806,0.3741496598639456,0.9363057324840764,-4.0,0.6113945578231293,0.4864649681528663,1.2568110714007372,1.1298076923076923,1.276923076923077,1.164835164835165,1.2727272727272727,0.8440366972477065,1.1458333333333335,1.1910828025477707,0.9692307692307692,1.258064516129032,0.930379746835443,0.7486631016042781,0.7006369426751593,1.0685464268351967
