YR,TM,PTS/OPP_PTS,AST/OPP_AST,TRB%,DRB%,ORB%,BLK/OPP_BLK,FG%/OPP_FG%,2P%/OPP_2P%,3P%/OPP_3P%,eFG%/OPP_eFG%,FT%/OPP_FT%,STL/OPP_STL,TOV/OPP_TOV,PF/OPP_PF,AVG_RANKS
2023,connecticut,1.0,1.0,2.0,4.0,13.0,2.0,1.0,1.0,9.0,1.0,13.0,42.0,45.0,43.0,12.714285714285714
2023,san-diego-state,41.0,27.0,25.0,19.0,27.0,20.0,25.0,39.0,10.0,27.0,48.0,38.0,26.0,41.0,29.5
2023,miami-fl,37.0,47.0,30.0,23.0,30.0,44.0,40.0,46.0,40.0,45.0,7.0,17.0,15.0,11.0,30.857142857142858
2023,florida-atlantic,42.0,26.0,13.0,33.0,8.0,15.0,35.0,18.0,38.0,34.0,9.0,45.0,43.0,22.0,27.214285714285715
2022,kansas,9.0,18.0,14.0,13.0,32.0,21.0,4.0,5.0,22.0,6.0,45.0,24.0,20.0,42.0,19.642857142857142
2022,north-carolina,16.0,17.0,3.0,5.0,9.0,37.0,30.0,30.0,21.0,24.0,15.0,47.0,48.0,16.0,22.714285714285715
2022,duke,33.0,23.0,39.0,42.0,36.0,12.0,11.0,6.0,30.0,18.0,32.0,18.0,39.0,18.0,25.5
2022,villanova,35.0,40.0,41.0,43.0,26.0,45.0,44.0,45.0,35.0,33.0,1.0,33.0,25.0,33.0,34.214285714285715
2021,baylor,7.0,13.0,20.0,25.0,10.0,42.0,33.0,40.0,18.0,26.0,21.0,1.0,1.0,45.0,21.571428571428573
2021,gonzaga,11.0,5.0,18.0,9.0,39.0,27.0,9.0,3.0,11.0,11.0,16.0,31.0,42.0,25.0,18.357142857142858
2021,houston,25.0,37.0,4.0,20.0,2.0,9.0,48.0,37.0,47.0,48.0,28.0,9.0,14.0,1.0,23.5
2021,ucla,26.0,31.0,34.0,8.0,37.0,28.0,37.0,43.0,4.0,30.0,5.0,29.0,2.0,38.0,25.142857142857142
2019,virginia,27.0,9.0,9.0,2.0,24.0,10.0,28.0,14.0,34.0,39.0,41.0,13.0,28.0,14.0,20.857142857142858
2019,texas-tech,15.0,35.0,44.0,11.0,47.0,8.0,13.0,15.0,15.0,15.0,17.0,14.0,8.0,35.0,20.857142857142858
2019,auburn,32.0,41.0,47.0,44.0,43.0,30.0,42.0,41.0,8.0,29.0,31.0,5.0,3.0,47.0,31.642857142857142
2019,michigan-state,23.0,11.0,6.0,3.0,22.0,29.0,23.0,23.0,25.0,25.0,8.0,33.0,38.0,37.0,21.857142857142858
2018,villanova,5.0,4.0,12.0,14.0,18.0,7.0,12.0,16.0,2.0,4.0,10.0,39.0,31.0,28.0,14.428571428571429
2018,michigan,31.0,12.0,45.0,22.0,46.0,39.0,21.0,9.0,3.0,20.0,44.0,12.0,10.0,21.0,23.928571428571427
2018,kansas,43.0,34.0,24.0,24.0,28.0,34.0,41.0,42.0,45.0,43.0,11.0,25.0,30.0,23.0,31.928571428571427
2018,loyola-il,45.0,10.0,38.0,15.0,48.0,48.0,15.0,25.0,5.0,16.0,26.0,48.0,47.0,36.0,30.142857142857142
2017,north-carolina,17.0,3.0,5.0,7.0,5.0,23.0,26.0,17.0,31.0,36.0,43.0,15.0,16.0,17.0,18.642857142857142
2017,gonzaga,22.0,29.0,33.0,34.0,34.0,33.0,10.0,22.0,14.0,10.0,37.0,41.0,44.0,32.0,28.214285714285715
2017,oregon,34.0,44.0,10.0,12.0,17.0,18.0,19.0,26.0,28.0,22.0,34.0,19.0,40.0,10.0,23.785714285714285
2017,south-carolina,19.0,32.0,17.0,10.0,16.0,41.0,27.0,20.0,39.0,38.0,42.0,8.0,4.0,12.0,23.214285714285715
2016,villanova,2.0,22.0,29.0,38.0,41.0,17.0,2.0,2.0,20.0,2.0,4.0,7.0,6.0,7.0,14.214285714285714
2016,north-carolina,13.0,2.0,1.0,26.0,1.0,11.0,24.0,27.0,41.0,32.0,6.0,22.0,24.0,30.0,18.571428571428573
2016,oklahoma,48.0,33.0,43.0,47.0,15.0,14.0,45.0,47.0,33.0,42.0,30.0,46.0,36.0,46.0,37.5
2016,syracuse,29.0,48.0,31.0,46.0,6.0,22.0,38.0,35.0,44.0,41.0,14.0,4.0,18.0,26.0,28.714285714285715
2015,duke,4.0,14.0,26.0,27.0,42.0,16.0,5.0,7.0,12.0,5.0,12.0,10.0,12.0,5.0,14.071428571428571
2015,wisconsin,36.0,19.0,21.0,6.0,29.0,46.0,43.0,24.0,48.0,35.0,40.0,44.0,37.0,13.0,31.5
2015,kentucky,8.0,16.0,23.0,37.0,25.0,5.0,6.0,8.0,6.0,7.0,20.0,16.0,19.0,15.0,15.071428571428571
2015,michigan-state,47.0,7.0,46.0,45.0,40.0,30.0,20.0,29.0,7.0,12.0,46.0,32.0,34.0,48.0,31.642857142857142
2014,connecticut,24.0,39.0,37.0,21.0,44.0,26.0,29.0,32.0,37.0,28.0,2.0,6.0,5.0,29.0,25.642857142857142
2014,kentucky,44.0,43.0,7.0,18.0,3.0,19.0,39.0,38.0,42.0,44.0,39.0,43.0,46.0,4.0,30.642857142857142
2014,florida,21.0,42.0,8.0,1.0,19.0,25.0,34.0,28.0,26.0,40.0,29.0,27.0,21.0,3.0,23.142857142857142
2014,wisconsin,10.0,8.0,32.0,17.0,35.0,32.0,18.0,12.0,29.0,13.0,23.0,37.0,29.0,20.0,22.5
2013,louisville,6.0,21.0,19.0,35.0,4.0,6.0,14.0,10.0,27.0,19.0,33.0,2.0,9.0,44.0,17.785714285714285
2013,michigan,18.0,28.0,27.0,29.0,23.0,40.0,31.0,31.0,13.0,23.0,35.0,30.0,17.0,2.0,24.785714285714285
2013,wichita-state,28.0,15.0,22.0,41.0,7.0,24.0,17.0,21.0,24.0,17.0,18.0,26.0,32.0,34.0,23.285714285714285
2013,syracuse,3.0,38.0,35.0,39.0,31.0,12.0,3.0,19.0,1.0,3.0,19.0,3.0,7.0,7.0,15.714285714285714
2012,kentucky,14.0,20.0,16.0,32.0,20.0,4.0,8.0,11.0,17.0,8.0,25.0,36.0,35.0,6.0,18.0
2012,kansas,38.0,36.0,28.0,40.0,14.0,35.0,22.0,13.0,36.0,31.0,38.0,23.0,27.0,24.0,28.928571428571427
2012,louisville,39.0,45.0,42.0,30.0,33.0,36.0,46.0,48.0,32.0,47.0,22.0,21.0,11.0,39.0,35.07142857142857
2012,ohio-state,20.0,30.0,11.0,16.0,11.0,38.0,36.0,34.0,46.0,37.0,24.0,11.0,22.0,9.0,24.642857142857142
2011,connecticut,12.0,24.0,15.0,31.0,20.0,1.0,7.0,4.0,23.0,14.0,3.0,40.0,41.0,40.0,19.642857142857142
2011,butler,46.0,46.0,36.0,36.0,12.0,47.0,47.0,44.0,43.0,46.0,36.0,28.0,23.0,27.0,36.92857142857143
2011,kentucky,40.0,25.0,40.0,28.0,38.0,3.0,32.0,36.0,16.0,21.0,47.0,35.0,33.0,19.0,29.5
2011,virginia-commonwealth,30.0,6.0,48.0,48.0,45.0,43.0,16.0,33.0,19.0,9.0,27.0,20.0,13.0,30.0,27.642857142857142
