YR,W,RU,FFA,FFB
2023,connecticut,san-diego-state,miami-fl,florida-atlantic
2022,kansas,north-carolina,duke,villanova
2021,baylor,gonzaga,houston,ucla
2019,virginia,texas-tech,auburn,michigan-state
2018,villanova,michigan,kansas,loyola-il
2017,north-carolina,gonzaga,oregon,south-carolina
2016,villanova,north-carolina,oklahoma,syracuse
2015,duke,wisconsin,kentucky,michigan-state
2014,connecticut,kentucky,florida,wisconsin
2013,louisville,michigan,wichita-state,syracuse
2012,kentucky,kansas,louisville,ohio-state
2011,connecticut,butler,kentucky,virginia-commonwealth
2010,duke,butler,west-virginia,michigan-state
2009,north-carolina,michigan-state,villanova,connecticut
2008,kansas,memphis,north-carolina,ucla
2007,florida,ohio-state,ucla,georgetown
2006,florida,ucla,george-mason,louisiana-state
2005,north-carolina,illinois,michigan-state,louisville
2004,connecticut,georgia-tech,duke,oklahoma-state
2003,syracuse,kansas,texas,marquette
2002,maryland,indiana,kansas,oklahoma
2001,duke,arizona,maryland,michigan-state
2000,michigan-state,florida,wisconsin,north-carolina
1999,connecticut,duke,ohio-state,michigan-state
1998,kentucky,utah,stanford,north-carolina
1997,arizona,kentucky,north-carolina,minnesota
1996,kentucky,syracuse,massachusetts,mississippi-state
1995,ucla,arkansas,oklahoma-state,north-carolina
1994,arkansas,duke,arizona,florida
1993,north-carolina,michigan,kansas,kentucky
