YR,W,RU,FFA,FFB
2023,connecticut,san-diego-state,miami-fl,florida-atlantic
2022,kansas,north-carolina,duke,villanova
2021,baylor,gonzaga,houston,ucla
2019,virginia,texas-tech,auburn,michigan-state
2018,villanova,michigan,kansas,loyola-il
2017,north-carolina,gonzaga,oregon,south-carolina
2016,villanova,north-carolina,oklahoma,syracuse
2015,duke,wisconsin,kentucky,michigan-state
2014,connecticut,kentucky,florida,wisconsin
2013,louisville,michigan,wichita-state,syracuse
2012,kentucky,kansas,louisville,ohio-state
2011,connecticut,butler,kentucky,virginia-commonwealth
